Time,T1,T5,T9,T10,Q1,Q2,Dt1,Dt2,C1,C2,TE
[min],°C,°C,°C,°C,l/h,l/h,°C,°C,kcal,kcal,°C
23.767,59.033,51.66,26.514,40.479,559.57,138.135,7.373,13.965,4125.738,1929.03,49.446
23.783,58.643,51.709,25.635,41.309,558.398,137.549,6.934,15.674,3871.708,2155.917,49.653
23.8,58.887,50.928,25.781,41.406,561.475,137.402,7.959,15.625,4468.768,2146.912,49.056
23.817,58.789,50.928,25.732,41.943,561.475,137.256,7.861,16.211,4413.936,2225.046,49.163
23.833,58.887,51.172,25.732,41.357,560.303,137.988,7.715,15.625,4322.648,2156.067,49.232
23.85,58.643,50.781,25.439,41.309,556.348,138.281,7.861,15.869,4373.631,2194.405,48.896
23.867,59.375,51.025,25.488,41.357,557.813,137.549,8.35,15.869,4657.516,2182.782,49.113
23.883,59.375,51.025,25.781,41.406,559.131,137.402,8.35,15.625,4668.524,2146.912,49.128
23.9,58.936,51.807,25.586,41.309,559.863,137.695,7.129,15.723,3991.213,2164.936,49.734
23.917,58.154,51.025,25.781,41.846,560.596,137.256,7.129,16.064,3996.434,2204.94,49.22
23.933,58.74,51.123,25.586,41.309,559.131,137.988,7.617,15.723,4259.005,2169.542,49.18
23.95,58.936,51.563,25.635,41.406,561.182,137.549,7.373,15.771,4137.619,2169.349,49.563
23.967,58.887,50.977,25,41.309,562.207,137.256,7.91,16.309,4447.145,2238.45,49.079
23.983,58.838,51.123,25.684,41.406,560.303,137.256,7.715,15.723,4322.648,2158.027,49.211
24,58.74,50,25.977,41.309,558.691,137.402,8.74,15.332,4883.094,2106.657,48.284
24.017,58.789,50.83,26.563,41.504,557.373,136.816,7.959,14.941,4436.123,2044.23,48.992
24.033,58.789,52.637,25.439,41.553,558.691,137.402,6.152,16.113,3437.262,2214.003,50.449
24.05,59.424,50.928,24.902,40.527,558.398,137.842,8.496,15.625,4744.205,2153.778,48.869
24.067,58.936,51.514,26.025,41.406,557.52,137.402,7.422,15.381,4137.84,2113.366,49.515
24.083,59.375,50.928,25,41.406,562.061,136.963,8.447,16.406,4747.875,2247.047,49.062
24.1,58.887,50.635,25,41.504,561.768,137.109,8.252,16.504,4635.68,2262.84,48.843
24.117,58.35,52.002,25.879,41.602,560.303,137.256,6.348,15.723,3556.609,2158.027,49.956
24.133,58.594,51.025,26.611,41.455,559.717,138.281,7.568,14.844,4236.138,2052.612,49.129
24.15,58.789,50.977,25.732,40.625,560.303,137.695,7.813,14.893,4377.365,2050.638,48.934
24.167,58.838,50.977,25.732,41.357,556.641,137.988,7.861,15.625,4375.935,2156.067,49.066
24.183,58.74,51.025,26.66,41.699,556.934,137.109,7.715,15.039,4296.656,2061.996,49.183
24.2,58.789,51.025,26.563,41.553,555.469,137.109,7.764,14.99,4312.477,2055.302,49.15
24.217,58.789,51.074,25.879,41.455,556.641,137.256,7.715,15.576,4294.395,2137.921,49.172
24.233,58.789,51.123,26.709,41.797,555.615,136.816,7.666,15.088,4259.355,2064.271,49.28
24.25,58.789,51.367,25.635,42.139,555.762,137.842,7.422,16.504,4124.794,2274.928,49.533
24.267,57.861,51.025,25.439,41.504,554.15,136.67,6.836,16.064,3788.137,2195.528,49.142
24.283,58.74,51.123,24.902,40.674,556.787,137.256,7.617,15.771,4241.152,2164.729,49.057
24.3,58.301,51.025,25.586,42.48,555.322,137.549,7.275,16.895,4040.186,2323.823,49.329
24.317,58.691,51.074,25.781,41.406,556.201,137.549,7.617,15.625,4236.689,2149.2,49.157
24.333,58.74,50.781,25.732,41.113,554.59,136.963,7.959,15.381,4413.972,2106.607,48.866
24.35,59.131,50.977,25.732,41.504,554.004,137.256,8.154,15.771,4517.512,2164.729,49.096
24.367,59.033,51.172,25.83,41.162,555.322,136.816,7.861,15.332,4365.571,2097.673,49.193
24.383,58.447,50.879,25.684,41.504,555.029,137.109,7.568,15.82,4200.661,2169.113,49.022
24.4,58.691,50.586,24.902,41.357,554.15,137.256,8.105,16.455,4491.649,2258.556,48.754
24.417,58.691,50.879,25.684,41.309,557.373,136.816,7.813,15.625,4354.477,2137.756,48.993
24.433,58.545,50.098,25.83,41.455,555.322,136.67,8.447,15.625,4690.955,2135.468,48.391
24.45,58.643,50.781,25.879,41.309,557.08,137.402,7.861,15.43,4379.389,2120.075,48.907
24.467,58.643,50.977,25.781,41.26,554.59,137.256,7.666,15.479,4251.494,2124.517,49.049
